Category,ID_code,Energy,Fat,Sat_Fat,Sugar,Salt,Nutri_Rating,Serve_size
Ready_Meal,RM1,720,31.2,17.2,4,2.4,4.5,400
Ready_Meal,RM2,632,27.2,11.2,10.4,3.2,4.5,400
Ready_Meal,RM3,576,28,11.2,9.6,1.6,3.5,400
Ready_Meal,RM4,532,6.4,1.6,39.6,1.2,2.5,400
Ready_Meal,RM5,332,20,10,10,3,4.5,400
Ready_Meal,RM6,236,5.6,3.6,3.2,4,4.5,400
Ready_Meal,RM7,464,14.4,2.4,15.2,1.6,2.5,400
Ready_Meal,RM8,576,17.2,2,26,1.7,2.5,400
Ready_Meal,RM9,404,9.6,2.8,8,0.4,1.5,400
Ready_Meal,RM10,268,3.2,2,4,0.5,1.5,400
Ready_Meal,RM11,336,8.4,3.6,4.4,2.6,3.5,400
Ready_Meal,RM12,528,25.6,13.6,6.8,2.4,4.5,400
Ready_Meal,RM13,588,12.8,2.8,40.8,2.7,4.5,400
Sandwich,SW1,630,39.6,9,7,2.7,4.5,225
Sandwich,SW2,405,14.6,2.7,0.9,1.4,2.5,225
Sandwich,SW3,518,23.9,7.4,2,3,4.5,225
Sandwich,SW4,416,14.9,3.6,1.4,2,2.5,225
Sandwich,SW5,473,19.4,6.8,5.6,3.6,4.5,225
Sandwich,SW6,340,18.2,2.9,12.6,1.4,2.5,225
Sandwich,SW7,428,28.4,6.3,3.8,1.1,3.5,225
Sandwich,SW8,439,22.5,2,3.2,1.6,3.5,225
Sandwich,SW9,405,8.3,3.6,13.7,2.9,3.5,225
Sandwich,SW10,540,30.6,15.5,2.5,2,4.5,225
Sandwich,SW11,430,15.5,7.4,11.5,1.8,3.5,225
Sandwich,SW12,270,2.3,0.7,6.8,0.7,1.5,225
Sandwich,SW13,360,5.2,2.3,6.5,0.8,2.5,225
Soup,S1,168,8.3,4,2.5,1.5,2.5,250
Soup,S2,163,8.3,1.3,13.8,1.3,2.5,250
Soup,S3,188,9.5,1,13.3,2,2.5,250
Soup,S4,235,14.8,6.5,3.8,1.3,3.5,250
Soup,S5,113,6.8,1.3,0.3,1.3,2.5,250
Soup,S6,128,8.5,1.5,1,2.5,2.5,250
Soup,S7,168,8.5,1.5,12,2.5,3.5,250
Soup,S8,160,9,3.8,5.3,1.3,2.5,250
Soup,S9,130,7,2,12.5,1,2.5,250
Soup,S10,178,10.8,8,3,1.8,3.5,250
Soup,S11,110,5,0.8,12.3,0.8,2.5,250
Soup,S12,108,5.5,3.3,9.3,1.8,2.5,250
Soup,S13,140,9.3,5.8,2.8,1.5,2.5,250
Breakfast_Cereal,BC1,149,0.4,0.1,3.2,0.7,2.5,40
Breakfast_Cereal,BC2,137,0.8,0.2,1.8,0.3,1.5,40
Breakfast_Cereal,BC3,152,0.3,0,1.1,0.2,1.5,40
Breakfast_Cereal,BC4,140,3.1,0.5,11.7,0,2.5,40
Breakfast_Cereal,BC5,150,3.9,0.6,5.6,0,2.5,40
Breakfast_Cereal,BC6,150,5.1,1.8,8.9,0,3.5,40
Breakfast_Cereal,BC7,148,0.3,0.2,13.8,0.4,3.5,40
Breakfast_Cereal,BC8,182,8.1,4.1,10,0.1,4.5,40
Breakfast_Cereal,BC9,146,0.4,0.1,11.1,0.6,3.5,40
Breakfast_Cereal,BC10,150,0.8,0.3,10.5,0,2.5,40
Breakfast_Cereal,BC11,140,0.2,0.1,8.4,0,2.5,40
Breakfast_Cereal,BC12,148,3.5,1,1.7,0.1,2.5,40
Breakfast_Cereal,BC13,148,0.8,0.2,13.4,0.6,3.5,40
Crisps,C1,155,7.3,2.8,2.4,0.7,3.5,33
Crisps,C2,166,8.7,0.9,3.2,0.9,3.5,33
Crisps,C3,178,11.9,3.3,0.6,0.4,2.5,33
Crisps,C4,155,7.3,0.7,0.2,0.5,3.5,33
Crisps,C5,131,2.6,0.4,2.1,0.5,2.5,33
Crisps,C6,170,9.9,3.9,1.5,0.8,4.5,33
Crisps,C7,149,6.3,0.8,0.4,0.7,3.5,33
Crisps,C8,169,9.4,0.9,0.2,0.7,3.5,33
Crisps,C9,161,9.1,1.1,0.7,0.6,3.5,33
Crisps,C10,125,1.4,0.1,0.8,1,3.5,33
Crisps,C11,155,7.6,3.3,1.1,0.6,4.5,33
Crisps,C12,162,8.9,0.7,0.8,1,4.5,33
Crisps,C13,120,0.8,0.1,0,0.5,2.5,33
Yoghurt,Y1,75,0.2,0.2,10.5,0.4,2.5,150
Yoghurt,Y2,221,10.7,6.8,24.8,0.3,3.5,150
Yoghurt,Y3,257,12.3,7.7,30.5,0.3,4.5,150
Yoghurt,Y4,77,0.2,0.2,10.2,0.4,2.5,150
Yoghurt,Y5,78,0.2,0.2,11.3,0.4,2.5,150
Yoghurt,Y6,123,5,3,6.8,0.2,2.5,150
Yoghurt,Y7,123,4.7,2.8,6.2,0.2,2.5,150
Yoghurt,Y8,126,4.9,2.9,6.9,0.2,4.5,150
Yoghurt,Y9,129,4.8,2.9,6.8,0.2,2.5,150
Yoghurt,Y10,245,14.3,8.7,22.7,0.3,4.5,150
Yoghurt,Y11,215,16.5,10.2,9.9,0.3,3.5,150
Yoghurt,Y12,101,2.3,1.4,11.7,0.5,2.5,150
Yoghurt,Y13,89,0.2,0,12.6,0.4,2.5,150
