date,time,subject,group,trialcode,trial.choice.response,trial.choice.correct,values.switch,values.subopt,values.trial_num,trial.choice.latency,expressions.mean_rt,values.rt,picture.switch.currentitem,picture.foodtype.currentitem,picture.choice1.currentitem,picture.choice2.currentitem,picture.choice3.currentitem,picture.choice4.currentitem,picture.choice5.currentitem,picture.choice6.currentitem,script.elapsedtime
21020,14:33:57,9696,904953983,choice,choice3,0,0,1,1,1493,1494,1494,RM11.png,soup_t.png,S5.png,S9.png,S6.png,S10.png,S13.png,S3.png,26542
21020,14:33:57,9696,904953983,switch,choice3,0,0,1,1,1493,1494,1494,S5.png,soup_t.png,S5.png,S9.png,S6.png,S10.png,S13.png,S3.png,34515
21020,14:33:57,9696,904953983,choice,choice3,0,0,1,2,2439,1967,3934,S5.png,cereal_t.png,BC11.png,BC3.png,BC2.png,BC9.png,BC8.png,BC1.png,37583
21020,14:33:57,9696,904953983,switch,choice3,0,0,1,2,2439,1967,3934,BC11.png,cereal_t.png,BC11.png,BC3.png,BC2.png,BC9.png,BC8.png,BC1.png,40107
21020,14:33:57,9696,904953983,choice,choice3,0,0,1,3,5250,3061.666667,9185,BC11.png,sand_t.png,SW9.png,SW4.png,SW6.png,SW7.png,SW3.png,SW5.png,45984
21020,14:33:57,9696,904953983,switch,choice3,0,0,1,3,5250,3061.666667,9185,SW9.png,sand_t.png,SW9.png,SW4.png,SW6.png,SW7.png,SW3.png,SW5.png,47851
21020,14:33:57,9696,904953983,choice,choice6,0,0,1,4,8819,4501.25,18005,SW9.png,crisps_t.png,C10.png,C4.png,C3.png,C6.png,C2.png,C7.png,57293
21020,14:33:57,9696,904953983,switch,choice6,0,0,1,4,8819,4501.25,18005,C10.png,crisps_t.png,C10.png,C4.png,C3.png,C6.png,C2.png,C7.png,58395
21020,14:33:57,9696,904953983,choice,choice2,0,0,1,5,1626,3926.4,19632,C10.png,cereal_t.png,BC9.png,BC12.png,BC2.png,BC6.png,BC5.png,BC8.png,60644
21020,14:33:57,9696,904953983,switch,choice2,0,0,1,5,1626,3926.4,19632,BC9.png,cereal_t.png,BC9.png,BC12.png,BC2.png,BC6.png,BC5.png,BC8.png,61699
21020,14:33:57,9696,904953983,choice,choice1,1,0,0,6,1026,3443.166667,20659,BC9.png,ready_t.png,RM11.png,RM1.png,RM5.png,RM3.png,RM13.png,RM2.png,63348
21020,14:33:57,9696,904953983,choice,choice3,0,0,1,7,3646,3472.285714,24306,BC9.png,sand_t.png,SW9.png,SW3.png,SW6.png,SW7.png,SW1.png,SW10.png,67620
21020,14:33:57,9696,904953983,switch,choice3,0,0,1,7,3646,3472.285714,24306,SW9.png,sand_t.png,SW9.png,SW3.png,SW6.png,SW7.png,SW1.png,SW10.png,69483
21020,14:33:57,9696,904953983,choice,choice4,0,0,1,8,915,3152.75,25222,SW9.png,ready_t.png,RM4.png,RM11.png,RM5.png,RM9.png,RM2.png,RM12.png,71012
21020,14:33:57,9696,904953983,choice,choice1,1,0,0,9,11623,4094,36846,SW9.png,yog_t.png,Y1.png,Y9.png,Y10.png,Y12.png,Y2.png,Y3.png,93300
