date,time,subject,group,trialcode,trial.choice.response,trial.choice.correct,values.switch,values.subopt,values.trial_num,trial.choice.latency,expressions.mean_rt,values.rt,picture.switch.currentitem,picture.foodtype.currentitem,picture.choice1.currentitem,picture.choice2.currentitem,picture.choice3.currentitem,picture.choice4.currentitem,picture.choice5.currentitem,picture.choice6.currentitem,script.elapsedtime
21020,15:33:43,9817,61616199,choice,choice4,0,0,1,1,15505,15506,15506,RM1.png,ready_t.png,RM1.png,RM11.png,RM5.png,RM7.png,RM13.png,RM2.png,71606
21020,15:33:43,9817,61616199,switch,choice4,0,0,1,1,15505,15506,15506,RM1.png,ready_t.png,RM1.png,RM11.png,RM5.png,RM7.png,RM13.png,RM2.png,75483
21020,15:33:43,9817,61616199,choice,choice3,0,0,1,2,14147,14827,29654,RM1.png,crisps_t.png,C4.png,C10.png,C3.png,C2.png,C9.png,C6.png,90264
21020,15:33:43,9817,61616199,switch,choice3,0,1,1,2,14147,14827,29654,C4.png,crisps_t.png,C4.png,C10.png,C3.png,C2.png,C9.png,C6.png,95010
21020,15:33:43,9817,61616199,choice,choice1,1,1,0,3,13868,14507.66667,43523,C4.png,soup_t.png,S5.png,S12.png,S9.png,S13.png,S3.png,S7.png,109504
21020,15:33:43,9817,61616199,choice,choice4,0,1,1,4,8826,13087.5,52350,C4.png,ready_t.png,RM11.png,RM4.png,RM5.png,RM9.png,RM2.png,RM12.png,118945
21020,15:33:43,9817,61616199,switch,choice4,0,0,1,4,8826,13087.5,52350,RM11.png,ready_t.png,RM11.png,RM4.png,RM5.png,RM9.png,RM2.png,RM12.png,121111
21020,15:33:43,9817,61616199,choice,choice2,0,0,1,5,6175,11705.2,58526,RM11.png,soup_t.png,S5.png,S9.png,S6.png,S10.png,S13.png,S3.png,127911
21020,15:33:43,9817,61616199,switch,choice2,0,0,1,5,6175,11705.2,58526,S5.png,soup_t.png,S5.png,S9.png,S6.png,S10.png,S13.png,S3.png,129620
21020,15:33:43,9817,61616199,choice,choice2,0,0,1,6,7457,10997.33333,65984,S5.png,ready_t.png,RM1.png,RM11.png,RM5.png,RM3.png,RM13.png,RM2.png,137695
21020,15:33:43,9817,61616199,switch,choice2,0,0,1,6,7457,10997.33333,65984,RM1.png,ready_t.png,RM1.png,RM11.png,RM5.png,RM3.png,RM13.png,RM2.png,139336
