date,time,subject,group,trialcode,trial.choice.response,trial.choice.correct,values.switch,values.subopt,values.trial_num,trial.choice.latency,expressions.mean_rt,values.rt,picture.switch.currentitem,picture.foodtype.currentitem,picture.choice1.currentitem,picture.choice2.currentitem,picture.choice3.currentitem,picture.choice4.currentitem,picture.choice5.currentitem,picture.choice6.currentitem,script.elapsedtime
21020,16:08:37,8866,299294910,choice,choice1,1,0,0,1,5024,5025,5025,RM11.png,cereal_t.png,BC2.png,BC9.png,BC12.png,BC6.png,BC5.png,BC8.png,99804
21020,16:08:37,8866,299294910,choice,choice2,0,0,1,2,8206,6616,13232,RM11.png,crisps_t.png,C10.png,C4.png,C3.png,C2.png,C9.png,C6.png,108698
21020,16:08:37,8866,299294910,switch,choice2,0,1,1,2,8206,6616,13232,C10.png,crisps_t.png,C10.png,C4.png,C3.png,C2.png,C9.png,C6.png,115651
21020,16:08:37,8866,299294910,choice,choice3,0,1,1,3,5253,6162,18486,C10.png,crisps_t.png,C4.png,C7.png,C3.png,C12.png,C6.png,C9.png,121497
21020,16:08:37,8866,299294910,switch,choice3,0,1,1,3,5253,6162,18486,C4.png,crisps_t.png,C4.png,C7.png,C3.png,C12.png,C6.png,C9.png,123476
21020,16:08:37,8866,299294910,choice,choice3,0,1,1,4,2545,5258,21032,C4.png,crisps_t.png,C10.png,C4.png,C3.png,C6.png,C2.png,C7.png,126599
21020,16:08:37,8866,299294910,switch,choice3,0,1,1,4,2545,5258,21032,C10.png,crisps_t.png,C10.png,C4.png,C3.png,C6.png,C2.png,C7.png,128039
21020,16:08:37,8866,299294910,choice,choice1,1,1,0,5,1474,4501.4,22507,C10.png,crisps_t.png,C5.png,C7.png,C3.png,C2.png,C11.png,C12.png,130108
21020,16:08:37,8866,299294910,choice,choice3,0,1,1,6,14755,6210.5,37263,C10.png,soup_t.png,S5.png,S12.png,S9.png,S13.png,S3.png,S7.png,145454
21020,16:08:37,8866,299294910,switch,choice3,0,1,1,6,14755,6210.5,37263,S5.png,soup_t.png,S5.png,S12.png,S9.png,S13.png,S3.png,S7.png,146986
21020,16:08:37,8866,299294910,choice,choice4,0,1,1,7,3541,5829.285714,40805,S5.png,ready_t.png,RM11.png,RM1.png,RM5.png,RM3.png,RM13.png,RM2.png,151125
21020,16:08:37,8866,299294910,switch,choice4,0,1,1,7,3541,5829.285714,40805,RM11.png,ready_t.png,RM11.png,RM1.png,RM5.png,RM3.png,RM13.png,RM2.png,152525
21020,16:08:37,8866,299294910,choice,choice2,0,1,1,8,1310,5264.5,42116,RM11.png,soup_t.png,S9.png,S12.png,S6.png,S1.png,S4.png,S3.png,154423
21020,16:08:37,8866,299294910,switch,choice2,0,1,1,8,1310,5264.5,42116,S9.png,soup_t.png,S9.png,S12.png,S6.png,S1.png,S4.png,S3.png,156065
21020,16:08:37,8866,299294910,choice,choice6,0,1,1,9,5865,5331.333333,47982,S9.png,sand_t.png,SW6.png,SW9.png,SW8.png,SW7.png,SW1.png,SW11.png,162523
21020,16:08:37,8866,299294910,switch,choice6,0,0,1,9,5865,5331.333333,47982,SW6.png,sand_t.png,SW6.png,SW9.png,SW8.png,SW7.png,SW1.png,SW11.png,164788
21020,16:08:37,8866,299294910,choice,choice1,1,0,0,10,5259,5324.2,53242,SW6.png,yog_t.png,Y4.png,Y8.png,Y3.png,Y2.png,Y10.png,Y11.png,170644
21020,16:08:37,8866,299294910,choice,choice2,0,0,1,11,3282,5138.636364,56525,SW6.png,sand_t.png,SW6.png,SW11.png,SW10.png,SW7.png,SW1.png,SW8.png,174511
21020,16:08:37,8866,299294910,switch,choice2,0,1,1,11,3282,5138.636364,56525,SW6.png,sand_t.png,SW6.png,SW11.png,SW10.png,SW7.png,SW1.png,SW8.png,176095
21020,16:08:37,8866,299294910,choice,choice1,1,1,0,12,8970,5458,65496,SW6.png,sand_t.png,SW4.png,SW9.png,SW6.png,SW7.png,SW8.png,SW11.png,185645
21020,16:08:37,8866,299294910,choice,choice1,1,1,0,13,2780,5252.076923,68277,SW6.png,ready_t.png,RM9.png,RM4.png,RM12.png,RM5.png,RM13.png,RM8.png,189013
21020,16:08:37,8866,299294910,choice,choice1,1,1,0,14,8471,5482.071429,76749,SW6.png,cereal_t.png,BC3.png,BC11.png,BC2.png,BC9.png,BC8.png,BC1.png,198068
21020,16:08:37,8866,299294910,choice,choice2,0,1,1,15,3270,5334.666667,80020,SW6.png,yog_t.png,Y1.png,Y8.png,Y3.png,Y12.png,Y10.png,Y2.png,201926
21020,16:08:37,8866,299294910,switch,choice2,0,0,1,15,3270,5334.666667,80020,Y1.png,yog_t.png,Y1.png,Y8.png,Y3.png,Y12.png,Y10.png,Y2.png,207857
21020,16:08:37,8866,299294910,breaktime,choice2,0,0,1,15,3270,5334.666667,80020,Y1.png,yog_t.png,Y1.png,Y8.png,Y3.png,Y12.png,Y10.png,Y2.png,211220
21020,16:08:37,8866,299294910,choice,choice6,0,0,1,16,2665,5167.875,82686,Y1.png,soup_t.png,S5.png,S12.png,S9.png,S3.png,S6.png,S13.png,214476
21020,16:08:37,8866,299294910,switch,choice6,0,0,1,16,2665,5167.875,82686,S5.png,soup_t.png,S5.png,S12.png,S9.png,S3.png,S6.png,S13.png,215754
21020,16:08:37,8866,299294910,choice,choice1,1,0,0,17,3197,5052,85884,S5.png,soup_t.png,S9.png,S12.png,S13.png,S7.png,S3.png,S4.png,219538
21020,16:08:37,8866,299294910,choice,choice4,0,0,1,18,3627,4972.888889,89512,S5.png,ready_t.png,RM11.png,RM1.png,RM5.png,RM8.png,RM13.png,RM2.png,223748
21020,16:08:37,8866,299294910,switch,choice4,0,0,1,18,3627,4972.888889,89512,RM11.png,ready_t.png,RM11.png,RM1.png,RM5.png,RM8.png,RM13.png,RM2.png,225149
21020,16:08:37,8866,299294910,choice,choice1,1,0,0,19,2288,4831.631579,91801,RM11.png,ready_t.png,RM9.png,RM4.png,RM11.png,RM5.png,RM2.png,RM12.png,228020
21020,16:08:37,8866,299294910,choice,choice2,0,0,1,20,5403,4860.25,97205,RM11.png,soup_t.png,S5.png,S9.png,S6.png,S10.png,S13.png,S3.png,234017
21020,16:08:37,8866,299294910,switch,choice2,0,0,1,20,5403,4860.25,97205,S5.png,soup_t.png,S5.png,S9.png,S6.png,S10.png,S13.png,S3.png,235487
21020,16:08:37,8866,299294910,choice,choice1,1,0,0,21,2936,4768.666667,100142,S5.png,crisps_t.png,C5.png,C10.png,C8.png,C9.png,C2.png,C6.png,239009
21020,16:08:37,8866,299294910,choice,choice3,0,0,1,22,1648,4626.863636,101791,S5.png,sand_t.png,SW4.png,SW9.png,SW6.png,SW7.png,SW3.png,SW5.png,241252
21020,16:08:37,8866,299294910,switch,choice3,0,0,1,22,1648,4626.863636,101791,SW4.png,sand_t.png,SW4.png,SW9.png,SW6.png,SW7.png,SW3.png,SW5.png,244347
21020,16:08:37,8866,299294910,choice,choice1,1,0,0,23,5343,4658.043478,107135,SW4.png,cereal_t.png,BC3.png,BC11.png,BC2.png,BC12.png,BC8.png,BC1.png,250275
