"","id","trust_fl","trust_fb","conf1","conf2","age","gen","race","HAS","NUT","condition","health_factor"
"1",7846,2.75,2,4,7,21,2,1,4.42857142857143,1,1,5
"2",7872,4.5,4.33333333333333,5,4,21,2,6,3.85714285714286,4,1,3
"3",7917,4.25,4.33333333333333,5,6,20,2,5,5.14285714285714,6,0,-1
"4",7964,4.5,2.66666666666667,6,4,24,2,1,3.71428571428571,5,1,2
"5",8020,4,4,5,6,21,2,6,5.14285714285714,6,0,-1
"6",8039,5.25,2.66666666666667,6,4,21,2,1,2.14285714285714,2,1,3
"7",8273,5.25,4,5,6,23,2,1,5,6,1,3
"8",8642,3.25,5,2,5,20,1,3,4.85714285714286,7,1,3
"9",8644,6,3,4,5,18,1,2,5,7,1,4
"10",8660,4,3,6,7,19,2,1,5.28571428571429,1,0,-1
"11",8666,5,5,6,6,20,1,1,4.28571428571429,5,0,-1
"12",8670,6.25,2.33333333333333,6,4,19,2,1,6.71428571428571,7,1,1
"13",8673,4.5,4,6,6,19,2,1,5.14285714285714,5,1,5
"14",8677,6,4.66666666666667,5,6,20,1,1,3.85714285714286,2,1,5
"15",8683,3.75,6,4,6,19,2,7,4.42857142857143,2,1,5
"16",8686,3.5,3,3,4,20,2,6,6,2,0,-1
"17",8687,6,4.66666666666667,4,5,20,2,1,5.42857142857143,6,0,-1
"18",8704,7,3.33333333333333,4,3,19,2,1,2.71428571428571,1,1,5
"19",8713,3,2.33333333333333,6,7,19,2,1,4.42857142857143,6,0,-1
"20",8723,4.5,3,5,4,20,1,1,4.42857142857143,5,1,4
"21",8728,6,6.33333333333333,5,7,19,1,1,5,4,1,3
"22",8743,4.75,5.33333333333333,4,5,19,1,1,5,3,0,-1
"23",8762,5.25,2,5,5,21,1,1,5.14285714285714,6,1,3
"24",8770,6,3.33333333333333,6,6,19,2,1,7,7,1,3
"25",8772,2.25,2,5,6,19,2,2,6.14285714285714,5,1,1
"26",8781,4.25,6,4,7,20,2,1,5.14285714285714,4,1,5
"27",8795,3.5,3,6,4,21,2,2,5.85714285714286,1,1,3
"28",8800,4,3,6,5,19,2,5,5.57142857142857,5,1,5
"29",8804,5,4.33333333333333,5,5,22,1,1,4.85714285714286,6,1,3
"30",8809,4.75,5.33333333333333,6,5,20,2,2,4.14285714285714,5,0,-1
"31",8811,4.25,2.66666666666667,5,3,19,2,1,4.28571428571429,1,1,2
"32",8812,4.25,4,4,5,19,2,6,3.28571428571429,4,1,4
"33",8825,6.25,3.66666666666667,5,6,20,2,1,4.71428571428571,6,0,-1
"34",8836,5.5,3.66666666666667,6,6,20,1,3,4.71428571428571,7,1,5
"35",8839,5,6,5,7,20,2,1,2.71428571428571,2,0,-1
"36",8846,3.25,3.66666666666667,2,1,19,2,5,3.71428571428571,1,1,5
"37",8855,4.75,1,6,6,21,2,5,4.71428571428571,5,1,3
"38",8857,6.25,2,5,6,19,2,1,5,3,1,3
"39",8860,6,4.66666666666667,6,6,20,2,1,6.14285714285714,7,1,5
"40",8861,2.5,2,6,6,20,1,4,4.42857142857143,4,0,-1
"41",8864,4.25,4.66666666666667,6,6,21,2,3,5.14285714285714,5,1,1
"42",8865,3.75,4,5,4,22,2,1,4,2,0,-1
"43",8866,4,3,3,3,19,2,1,4.42857142857143,5,1,5
"44",8881,2.25,2.33333333333333,5,5,24,2,1,6.14285714285714,6,1,3
"45",8887,4.75,5.33333333333333,5,4,20,2,2,4.28571428571429,2,0,-1
"46",8893,2.75,6,5,6,20,1,1,4.42857142857143,5,0,-1
"47",8898,3.75,4,4,5,20,1,4,2.71428571428571,3,1,3
"48",9231,4.75,4.66666666666667,4,4,20,2,1,5.42857142857143,3,1,1
"49",9250,4.25,5,5,5,21,2,2,4.85714285714286,2,0,-1
"50",9681,4,3.66666666666667,6,6,19,2,5,3.42857142857143,2,1,3
"51",9690,3.25,2.66666666666667,3,4,18,2,2,4.85714285714286,5,1,3
"52",9691,3.5,3.66666666666667,4,4,18,2,2,5.85714285714286,5,0,-1
