feature,r,p,ci_lower,ci_upper
is_sandwich.1,0.96444010514577,0,0.959599637912694,0.968709884423034
reduce_calories.1,0.954426413856033,2.52139485436038e-318,0.946734849968033,0.961029538773089
is_sandwich.0,0.940395346264466,0,0.93239450912941,0.947475053645457
reduce_all.1,0.864476855154203,5.60629643291226e-182,0.84282514303749,0.883334748014479
reduce_calories.0,0.859864265879436,6.34383066611957e-178,0.837539839900472,0.879322452711572
reduce_fat.1,0.855858633027688,1.60949310483849e-174,0.832953400532063,0.875835880461838
sum_visstrat,0.843976334883285,3.86269732708857e-248,0.824205558853903,0.861692168078431
is_crisps.1,0.752941243738252,2.31949253484598e-167,0.723365403815357,0.779759140714955
reduce_all.0,0.749677442025556,5.19254973126988e-110,0.712512925268501,0.782647339536536
is_crisps.0,0.700249695213209,3.40462866914269e-135,0.665569474559223,0.73191245781199
reduce_fat.0,0.650764588691331,5.00486975483963e-74,0.602253161191032,0.69448747359386
is_cereal.0,0.580536524265955,3.38010183988875e-83,0.535787382320196,0.622033574424745
is_cereal.1,0.446391601566383,8.06266712811184e-46,0.392829205034198,0.496935530962708
reduce_calories.missing.NA.,0.29677907012082,9.54266070617673e-14,0.222262813289623,0.367848349612912
HAS,0.296716109691494,5.67925519640182e-20,0.236318400284464,0.354829826626887
ri_energy_distance,0.163692501299374,6.78377677161744e-07,0.0998014902693822,0.226239204470336
reduce_fat.missing.NA.,0.0519263773372137,0.20252868210198,-0.0279681791457124,0.131161719339807
is_readymeal.1,-0.968780344552201,0,-0.972536264585802,-0.964520006828744
reduce_salt.1,-0.962309822557703,0,-0.967789550608913,-0.955918751643543
is_yoghurt.1,-0.903660686891064,0,-0.914912322909167,-0.891005869338757
is_yoghurt.0,-0.859173910513337,9.34790006398088e-267,-0.875280836780748,-0.841163034664767
is_readymeal.0,-0.845926385521968,2.05092902759576e-250,-0.863437196761395,-0.826379446953855
gen.1,-0.758923826176523,1.56996883007341e-171,-0.785171907880653,-0.729953841111234
NUT,-0.724823669410257,2.92131227006112e-149,-0.754265832571222,-0.692472340804824
reduce_salt.0,-0.708500011876196,3.42155013161423e-93,-0.746106381882404,-0.666387685547655
reduce_sugar.0,-0.703817734071633,1.82561700190357e-91,-0.741936922850328,-0.661163123919376
is_soup.0,-0.692206571730367,6.7253923954176e-131,-0.724581309024998,-0.656783631685209
is_soup.1,-0.663321508250398,1.4232506524425e-116,-0.69819260062789,-0.625310346881295
reduce_sugar.1,-0.662180442386704,1.77141024681366e-77,-0.704729750545225,-0.614884815758095
gen.2,-0.658781937402283,1.82164207411357e-114,-0.694036722231147,-0.620375230213684
rt,-0.419278008008934,4.32589762517633e-40,-0.471392691291691,-0.364245382647294
reduce_sugar.missing.NA.,-0.273303068848641,8.29169339742848e-12,-0.345547527719866,-0.197837986265654
age,-0.155470915652173,2.41950865023925e-06,-0.218219417815902,-0.0914421961549192
reduce_all.missing.NA.,-0.131147127154115,0.00123612076909034,-0.208741809468559,-0.0519115697738774
reduce_salt.missing.NA.,-0.0294263740369098,0.470384923323104,-0.108949299892276,0.0504708060955967
gen.missing.NA.,NA,NA,NA,NA
is_cereal.missing.NA.,NA,NA,NA,NA
is_crisps.missing.NA.,NA,NA,NA,NA
is_readymeal.missing.NA.,NA,NA,NA,NA
is_sandwich.missing.NA.,NA,NA,NA,NA
is_soup.missing.NA.,NA,NA,NA,NA
is_yoghurt.missing.NA.,NA,NA,NA,NA
