feature,r,p,ci_lower,ci_upper
is_cereal,0.907871347668865,0,0.89573933637535,0.918652227760924
is_readymeal,0.877750490396824,1.00291145712238e-292,0.861939027738491,0.891856315996316
is_sandwich,0.85316236727581,3.85113481835844e-259,0.834451109497646,0.869908750424598
sum_visstrat,0.813697956729294,2.20554500644265e-216,0.790526263007605,0.834543288768151
eqw4_distance,0.733059428187679,2.53008450061053e-154,0.701508782796319,0.761742136964487
rt,0.549104116167,7.09721339829221e-73,0.502058140468222,0.592909823412227
NUT,0.4509688069013,7.70877451284062e-47,0.397664840604648,0.501238944843972
reduce_sugar,0.402101382471397,7.07084561435937e-25,0.33300520252078,0.466902262105352
reduce_fat,0.357642823983725,1.15593907934568e-19,0.286025075914961,0.425287109040866
reduce_salt,0.239083302522879,2.67911238401351e-09,0.16240222765751,0.312893935591998
reduce_all,0.176730766388139,1.24905184471485e-05,0.0983385814743362,0.252943127707566
is_soup,-0.798387393581922,1.85258708921581e-202,-0.820776541662972,-0.773549178384528
is_yoghurt,-0.779962952210942,3.20838468271436e-187,-0.804175349383483,-0.753166430687805
is_crisps,-0.743539131389852,4.80453407310897e-161,-0.771244430400263,-0.713022013271407
reduce_calories,-0.713228430962705,5.68593768390168e-95,-0.750313937671032,-0.671667932469524
age,-0.355897648985939,1.36493166723002e-28,-0.411341080577073,-0.297830266679771
gen,-0.26057881102777,1.32043161571768e-15,-0.320112970283265,-0.198994707533482
HAS,-0.206059378923759,3.42070952231481e-10,-0.26743218629858,-0.143021459239506
