feature,r,p,ci_lower,ci_upper
is_crisps,0.923978125436931,0,0.913871392473245,0.932940442049399
is_soup,0.854433552313191,1.00939914628302e-260,0.835869932776111,0.871045048970652
reduce_all,0.776887414198654,4.72618342086915e-123,0.743169680442288,0.806669489238257
reduce_calories,0.775402547132372,2.71118980660901e-122,0.741493060193139,0.805361117514315
age,0.647201696545889,2.97194562441111e-109,0.607799729348347,0.683424611432083
reduce_fat,0.633554033784164,4.25883081942396e-69,0.583255469765593,0.679012636642209
sum_visstrat,0.590885122526801,7.56261299547511e-87,0.546923513488295,0.631597026476312
ri_fat_distance,0.503514868068289,1.00921869250571e-59,0.453390598182448,0.550464401623538
is_readymeal,0.336949944191958,1.2690029003564e-25,0.278083861933257,0.393294569547613
HAS,0.255012486432325,5.45291935403709e-15,0.193261474496837,0.314751191164894
is_cereal,-0.896316312512605,2.96439387504748e-323,-0.90838443012958,-0.882756178496197
is_sandwich,-0.86608583113229,5.83305726707007e-276,-0.881452617402212,-0.848887100737662
reduce_salt,-0.842433424150151,8.04930588595894e-164,-0.864135119341134,-0.817604487097739
reduce_sugar,-0.793042011052271,1.05563296943367e-131,-0.820885067227884,-0.761437857318375
gen,-0.486103693882877,3.33823950963424e-55,-0.534189595587334,-0.434882317360821
rt,-0.46591130033828,2.81037581841263e-50,-0.515270345330339,-0.413471630191045
is_yoghurt,-0.273699958288222,4.07220678275665e-17,-0.332736882217426,-0.212525998358665
NUT,-0.270050275551617,1.09265177218009e-16,-0.329227629768885,-0.208759876300191
