feature,r,p,ci_lower,ci_upper
reduce_fat.0,0.978138999316922,0,0.974397039040263,0.981339228267056
tfl_fat_nbest,0.907651140606961,0,0.895491719668158,0.918456687932241
reduce_all.0,0.851921882438272,2.84098168624474e-171,0.82844889559631,0.872407231486106
NUT,0.716220327361373,3.6348063505272e-144,0.683043407308478,0.746447678975025
sum_visstrat,0.685525635477876,1.94848173278694e-127,0.649493067981478,0.71848619156472
gen.1,0.127539315302101,0.000113396861102075,0.0631099973750262,0.19090994502601
reduce_calories.missing.NA.,0.109605450284685,0.00701237400874765,0.030089866503902,0.187742491171519
reduce_sugar.0,-0.986668677074246,0,-0.988627426340999,-0.984375214347507
is_readymeal.0,-0.977762720833305,0,-0.980448736173156,-0.974712403881729
reduce_calories.0,-0.967763976708856,0,-0.972461860275769,-0.962279981354554
reduce_sugar.1,-0.958201252268242,0,-0.96426744302333,-0.95113084696736
reduce_salt.0,-0.955999698636107,7.90505033345994e-323,-0.96237925927432,-0.948566674112223
is_sandwich.0,-0.92282656672685,0,-0.931919838240642,-0.912573696369139
is_readymeal.1,-0.91137137620267,0,-0.921759479822078,-0.899676031812736
is_sandwich.1,-0.833580594383629,1.61598224777564e-236,-0.852382325180694,-0.81262636350912
rt,-0.746131062523841,9.29640871936483e-163,-0.773592716918976,-0.715872106130965
HAS,-0.671851144322914,1.23657875594168e-120,-0.705994945547614,-0.63459142522958
age,-0.420558915398499,2.38215519212711e-40,-0.472601363593188,-0.365593417577232
gen.2,NA,NA,NA,NA
gen.missing.NA.,NA,NA,NA,NA
is_cereal.0,NA,NA,NA,NA
is_cereal.1,NA,NA,NA,NA
is_cereal.missing.NA.,NA,NA,NA,NA
is_crisps.0,NA,NA,NA,NA
is_crisps.1,NA,NA,NA,NA
is_crisps.missing.NA.,NA,NA,NA,NA
is_readymeal.missing.NA.,NA,NA,NA,NA
is_sandwich.missing.NA.,NA,NA,NA,NA
is_soup.0,NA,NA,NA,NA
is_soup.1,NA,NA,NA,NA
is_soup.missing.NA.,NA,NA,NA,NA
is_yoghurt.0,NA,NA,NA,NA
is_yoghurt.1,NA,NA,NA,NA
is_yoghurt.missing.NA.,NA,NA,NA,NA
reduce_all.1,NA,NA,NA,NA
reduce_all.missing.NA.,NA,NA,NA,NA
reduce_calories.1,NA,NA,NA,NA
reduce_fat.1,NA,NA,NA,NA
reduce_fat.missing.NA.,NA,NA,NA,NA
reduce_salt.1,NA,NA,NA,NA
reduce_salt.missing.NA.,NA,NA,NA,NA
reduce_sugar.missing.NA.,NA,NA,NA,NA
tfl_fat_distance,NA,NA,NA,NA
