feature,r,p,ci_lower,ci_upper
is_yoghurt,0.948364237423505,0,0.941400774626346,0.954519603135619
is_readymeal,0.900091516371161,0,0.886995694996644,0.911740675646376
gen,0.842602105738625,1.48379956503134e-246,0.822673938116544,0.860462169150177
ri_salt_distance,0.802642575197796,3.32184792131938e-206,0.7782639528029,0.824605270162154
reduce_salt,0.791494361981808,7.68057573086121e-131,0.759685545285252,0.819524673586108
reduce_sugar,0.726405625051173,3.97551085678831e-100,0.68640527786359,0.762023753565261
rt,0.0369671789746841,0.26501280183134,-0.0280522951993374,0.101675164989355
is_soup,0.00477609770200037,0.885533013945648,-0.060194693659387,0.0697065913905705
is_cereal,-0.977348593629298,0,-0.980084127201157,-0.974242210131456
is_sandwich,-0.914099273689363,0,-0.924180325360988,-0.902745583890028
reduce_fat,-0.690147944260593,1.30329388248501e-86,-0.729747402337312,-0.645933783570852
age,-0.61920252263163,1.5232694108669e-97,-0.657702810036182,-0.577475616624869
reduce_calories,-0.603678910714156,3.03707291490528e-61,-0.652054208357068,-0.55040827203125
ri_salt_nbest,-0.454413978051877,1.28625877255231e-47,-0.504476399220585,-0.401306481249911
is_crisps,-0.3668454602109,2.11683038963427e-30,-0.421748414340177,-0.309262254528963
reduce_all,-0.325740860079791,2.1387485593398e-16,-0.395248169454231,-0.252524566646184
NUT,-0.133746931521273,5.13232380268618e-05,-0.196987787662246,-0.069397681439997
HAS,-0.0384786673504021,0.245955937613748,-0.103172928153735,0.0265397806564198
sum_visstrat,-0.000496885971722292,0.988050682870233,-0.0654468916563897,0.064457312214749
