feature,r,p,ci_lower,ci_upper
is_yoghurt,0.965261835724762,0,0.960530976347673,0.969434482646624
is_crisps,0.953240281838239,0,0.946916473910905,0.958826670254599
is_soup,0.94142472069098,0,0.933557326934597,0.948385413582292
is_cereal,0.904577746929599,0,0.892036559555388,0.915727019333132
tfl_salt_nbest,0.862700633767445,2.1721248009279e-271,0.845103227244743,0.878430568287534
sum_visstrat,0.80458245527996,6.06551210792754e-208,0.78041426763589,0.826350068539143
reduce_calories,0.741056683509468,3.16828586984571e-106,0.702829653753634,0.775016016850709
reduce_salt,0.665104036361065,2.18729551932999e-78,0.61812368378577,0.707349942633408
gen,0.412527990855676,9.61897285514628e-39,0.357145429997345,0.465020096760097
reduce_all,0.288710450360418,4.6414864116127e-13,0.213857523517435,0.360192844111451
rt,0.215582025145233,4.85230410098521e-11,0.152769057359126,0.276660205993288
tfl_salt_distance,-0.970332535570728,0,-0.973904192486178,-0.966280387155939
is_readymeal,-0.909491829031996,0,-0.920091023023645,-0.897561754061088
is_sandwich,-0.66844657724783,5.36289636912461e-119,-0.702881667121799,-0.630885634103733
reduce_fat,-0.549426356267587,6.24249718369357e-49,-0.602783531444109,-0.491177194345607
age,-0.436312271241872,1.25136359144669e-43,-0.487450336124578,-0.382191225684275
HAS,-0.189961621302985,7.54186882625507e-09,-0.251806843229365,-0.126571190594851
NUT,-0.176146442810987,8.73808450049538e-08,-0.238371334133879,-0.112481232191302
reduce_sugar,-0.0508182327515598,0.212343039821159,-0.130069597972123,0.0290783520439304
