feature,r,p,ci_lower,ci_upper
is_yoghurt,0.884915358391753,6.7304902506139e-304,0.869966410057489,0.89823926430069
is_cereal,0.747824585427601,6.8790904018761e-164,0.717734852239325,0.775126639355569
is_crisps,0.746300882314657,7.16689584828859e-163,0.716058875528842,0.773746547124042
is_soup,0.730571403279756,8.95891565548985e-153,0.698777801356286,0.759484348423403
rt,0.684791830027213,4.6159345530982e-127,0.648692707262469,0.717816421258567
reduce_sugar,0.651173988198851,3.78621373949709e-74,0.602705742624862,0.694855092466145
ri_sugar_distance,0.524604839033168,1.47175941220365e-65,0.475867524109932,0.570130228163504
age,0.498775161146813,1.82074532740025e-58,0.448347948949098,0.546037571197021
sum_visstrat,0.3402571834454,3.9807276279091e-26,0.281526930263536,0.396447640132682
reduce_fat,0.241242279455184,1.90733471377234e-09,0.164632092779594,0.314959270142674
reduce_salt,0.240114596808778,2.27866386566478e-09,0.163467285924646,0.313880586125232
is_readymeal,-0.922213342203501,0,-0.931376290643524,-0.911882735466668
reduce_calories,-0.70073916905368,2.39126631991287e-90,-0.739193925133027,-0.65773026385732
is_sandwich,-0.680887894327592,4.35006217981069e-125,-0.714252132537042,-0.644436031306141
gen,-0.46626525291793,2.31865545275223e-50,-0.515602395741661,-0.413846439540484
HAS,-0.153223132750773,3.38745739597208e-06,-0.216025330493221,-0.0891583334691694
reduce_all,-0.111604360894729,0.00603754655560265,-0.189694086077898,-0.0321115761550709
NUT,-0.0384226830754731,0.246644221822613,-0.103117457480771,0.0265958082492195
