feature,r,p,ci_lower,ci_upper
is_sandwich,0.93127967180611,0,0.924923540885444,0.937115259105389
is_cereal,0.906372924650447,0,0.897834966401309,0.914229610181155
tfl_sugar_nbest,0.899997532888412,0,0.890911463804689,0.908363491220988
reduce_calories,0.843109652383905,8.77679952160807e-318,0.825719310257325,0.858898835559527
reduce_sugar,0.738161312414973,2.14116086326277e-202,0.710962360889862,0.763155096565098
HAS,0.630192914710706,6.41044017905937e-203,0.601731333470488,0.657056025506554
sum_visstrat,0.504234055085962,1.75548943718332e-118,0.469234546410044,0.537651912920374
rt,0.455289231939201,3.19290861508514e-94,0.418170882970807,0.490889670641386
age,0.43098756410674,1.4365975765765e-83,0.392904044104509,0.467595220820425
reduce_all,0.239539010042061,9.05117197601255e-17,0.184835777309806,0.292762502588988
tfl_sugar_distance,-0.91581902786723,0,-0.922915098496548,-0.908100945504018
is_readymeal,-0.908135772837063,0,-0.91585105924227,-0.899750117060656
is_yoghurt,-0.906542309277161,0,-0.914385419291677,-0.898018971101902
is_crisps,-0.884552566587439,0,-0.894138621778341,-0.874156137941297
reduce_fat,-0.870552739529082,0,-0.883754285722687,-0.855966581727081
is_soup,-0.761789625592966,0,-0.780381259942686,-0.74185233530847
gen,-0.739955138772239,8.954582127345e-317,-0.760018766353599,-0.718482397590905
NUT,-0.686577403176884,4.54856064828096e-255,-0.710073129276174,-0.661554424764875
reduce_salt,-0.635432264222528,1.16673856231517e-133,-0.668361068479307,-0.600017779166776
