feature,r,p,ci_lower,ci_upper
is_cereal,0.987101055771895,0,0.985322184070683,0.988665568694423
is_yoghurt,0.984723169105925,0,0.982619235393834,0.986574147228987
is_crisps,0.981027493956581,0,0.978420123822714,0.98332248645785
is_soup,0.978065494230212,0,0.975056185300261,0.980715294521829
tfl3_nbest,0.941849261052657,0,0.934036951001036,0.948760835909979
reduce_calories,0.694651367441156,3.51728028077768e-88,0.650947106268383,0.733765942891028
sum_visstrat,0.6882554105162,7.70036940821419e-129,0.652471131471717,0.720977217694156
reduce_salt,0.607199385845305,3.98312752749083e-62,0.554270422900083,0.655237351773632
reduce_all,0.55826457672954,8.75746821323869e-51,0.50078987038635,0.610838001303698
reduce_fat,0.480833520186431,2.86605710667238e-36,0.417053094835992,0.539901449395431
HAS,0.104181975185067,0.00163967053231994,0.0394971280240141,0.167997282369945
rt,0.0263724171513528,0.426591301336193,-0.0386458990272805,0.0911683687137387
tfl3_distance,-0.995134780105151,0,-0.995726977970052,-0.994460737371661
is_sandwich,-0.815608273390444,3.27994394020929e-218,-0.836259157082562,-0.792647015349604
reduce_sugar,-0.794246175628436,2.22740983518386e-132,-0.821943317230196,-0.762801581622662
is_readymeal,-0.603196947730511,2.29152779579545e-91,-0.642958640948123,-0.560192569272549
gen,-0.229367555698908,2.43363825231468e-12,-0.289999290699176,-0.16690192744163
NUT,-0.17111058759154,2.03767421550968e-07,-0.23346794392047,-0.107351574556524
age,-0.141002502354641,1.94283882455219e-05,-0.204085521144966,-0.0767533229395325
